"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2016-Q4","Q4-2016","PC","Percentage","0","Units",,,2.5,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2017-Q1","Q1-2017","PC","Percentage","0","Units",,,2.76333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2017-Q2","Q2-2017","PC","Percentage","0","Units",,,2.50333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2017-Q3","Q3-2017","PC","Percentage","0","Units",,,2.64666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2017-Q4","Q4-2017","PC","Percentage","0","Units",,,2.64333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2018-Q1","Q1-2018","PC","Percentage","0","Units",,,2.77666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2018-Q2","Q2-2018","PC","Percentage","0","Units",,,2.74333333333333,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2018-Q3","Q3-2018","PC","Percentage","0","Units",,,2.62,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2018-Q4","Q4-2018","PC","Percentage","0","Units",,,2.59666666666667,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2019-Q1","Q1-2019","PC","Percentage","0","Units",,,2.12,,
"IRLTLT01","Long-term interest rate","AUS","Australia","ST","Level, ratio or index","Q","Quarterly","2019-Q2","Q2-2019","PC","Percentage","0","Units",,,1.63,,
